specie_id,name,scientific_name,type
48,Eland Patterson's,,
49,African Elephant,,
50,Grants Gazelle,,
51,Robert's Gazelle,,
52,Thomson's Gazelle,,
53,Garnet Botched,,
54,Genet Common,,
55,Gerenuk,,
56,Sharpe's Grysbock,,
57,Hare cape,,
58,Hare Scrub,,
59,Hartebeest Cokes,,
60,Hartebeest Lichtenstein's,,
61,Hippo,,
62,Spotted Hyena,,
63,Striped Hyena,,
64,Impala East African,,
65,Impala Southern,,
66,Common/Golden Jackal,,
67,Side striped Jackal,,
68,Silver backed Jackal,,
69,Khospringer,,
70,Greater Kudu,,
71,Lesser Kudu,,
72,Leopard,,
73,Lion,,
74,Banded Mongoose,,
75,White tailed Mongoose,,
76,Blue Monkey,,
77,Vervet Monkey,,
118,Baboon Olive,,
119,Baboon Yellow,,
120,Buffalo African Cape,,
121,Bushbuck Chope,,
122,Bushbuck Masai,,
123,Bushpig,,
124,Caracal,,
125,Civet African,,
126,Dikdik Kirk's,,
127,Abbott's duiker,,
128,Common Duiker,,
129,Duiker Harvey's red,,
130,Eland Livingstone's,,
131,Oribi Common,,
132,Oryx Fringed Aared,,
133,Porcupine Crested,,
134,Puku,,
135,Ratel (Honey Badger),,
136,Reedbuck Bohar,,
137,Mountain Reedbuck (Chandler's),,
138,Southern Reedbuck (Common),,
139,Roan antelope,,
140,Sable Antelope Common,,
141,Sable Antelope Roosevelt,,
142,Serval Cat,,
143,Sinalunga East African,,
144,Stenbuck,,
145,Pygmy Antelope (Sun),,
146,Topi,,
147,Warthog,,
148,Common Waterbuck,,
149,Defassa Waterbuck,,
150,Wildcat,,
151,Eastern White bearded Wildebeest,,
152,Nyasa Wildebeest,,
153,Western White bearded wildebeest,,
154,Burchel's Zebra,,
155,Zonilla,,
156,Crocodile Nile,,
157,Python Rock,,
158,Ostrich,,
159,Dove,,
160,Duck,,
161,Francolin,,
162,Geese,,
163,Guinea fowl,,
164,Pigeon,,
165,Sand grouse,,
166,Spur fowl,,
167,Grebe,,
168,Crane,,
169,Kori Bustard,,
170,Stripes,,
