ID,Name,Active
2,Baboon Olive,TRUE
1,Baboon Yellow,TRUE
3,Buffalo African Cape,TRUE
4,Bushbuck Chobe,TRUE
5,Bushbuck Masai,TRUE
6,Bushpig,TRUE
7,Caracal,TRUE
8,Civet African,TRUE
9,Crocodile Nile,TRUE
10,Dikdik Kirk's,TRUE
73,Dove,TRUE
74,Duck,TRUE
11,Duiker Abbott's,TRUE
12,Duiker Common,TRUE
13,Duiker Harvey's red,TRUE
14,Eland Livingstone's,TRUE
15,Eland Paterson's,TRUE
16,Elephant African,TRUE
17,Fox Bat-eared,TRUE
75,Francolin,TRUE
18,Gazelle Grant's,TRUE
19,Gazelle Robert's,TRUE
20,Gazelle Thomson's,TRUE
76,Geese,TRUE
21,Genet Blotched,TRUE
22,Genet Common,TRUE
23,Gerenuk,TRUE
24,Grysbock Sharpe's,TRUE
77,Guineafowl,TRUE
26,Hare Cape,TRUE
25,Hare Scrub,TRUE
27,Hartebeest Coke's,TRUE
28,Hartebeest Lichtenstein's,TRUE
29,Hippo,TRUE
30,Hyaena Spotted,TRUE
31,Hyaena Striped,TRUE
32,Impala East African,TRUE
33,Impala Southern,TRUE
34,Jackal Common,TRUE
35,Jackal Side striped,TRUE
36,Jackal Silver backed,TRUE
37,Klipspringer,TRUE
38,Kudu Greater,TRUE
39,Kudu Lesser,TRUE
40,Leopard,TRUE
41,Lion,TRUE
42,Mongoose Banded,TRUE
43,Mongoose White tailed,TRUE
44,Monkey Blue,TRUE
45,Monkey Vervet,TRUE
46,Oribi Common,TRUE
47,Oryx Fringed eared,TRUE
48,Ostrich,TRUE
78,Pigeon,TRUE
49,Porcupine Crested,TRUE
50,Puku,TRUE
51,Python Rock,TRUE
52,Ratel (Honey Badger),TRUE
53,Reedbuck Bohor,TRUE
54,Reedbuck Mountain (Chandler's),TRUE
55,Reedbuck Southern (Common),TRUE
56,Roan Antelope,TRUE
58,Sable Antelope Common,TRUE
57,Sable Antelope Roosevelt,TRUE
79,Sandgrouse,TRUE
59,Serval Cat,TRUE
60,Sitatunga East African,TRUE
80,Spurfowl,TRUE
61,Steinbuck,TRUE
62,Suni (Pygmy Antelope),TRUE
63,Topi,TRUE
64,Warthog,TRUE
65,Waterbuck Common,TRUE
66,Waterbuck Defassa,TRUE
67,Wildcat,TRUE
68,Wildebeest Eastern White bearded,TRUE
70,Wildebeest Nyasa,TRUE
69,Wildebeest Western White bearded,TRUE
71,Zebra Burchell's,TRUE
72,Zorilla,TRUE
